DATE	FROM	TO	AIRCRAFT	FLIGHT TIME	STD	ATD	STA		STATUS		 
 	22 Dec 2025	Frankfurt (FRA)	New York (EWR)	74H	—	13:30	—	16:00	
Scheduled		 
 	21 Dec 2025	Frankfurt (FRA)	New York (EWR)	74H	—	13:30	—	16:00	
Scheduled		 
 	20 Dec 2025	Frankfurt (FRA)	New York (EWR)	74H	—	13:30	—	16:00	
Scheduled		 
 	19 Dec 2025	Frankfurt (FRA)	New York (EWR)	74H	—	13:30	—	16:00	
Scheduled		 
 	18 Dec 2025	Frankfurt (FRA)	New York (EWR)	74H	—	13:30	—	16:00	
Scheduled		 
 	17 Dec 2025	Frankfurt (FRA)	New York (EWR)	74H	—	13:30	—	16:00	
Scheduled		 
 	16 Dec 2025	Frankfurt (FRA)	New York (EWR)	74H	—	13:30	—	16:00	
Scheduled		 
 	15 Dec 2025	Frankfurt (FRA)	New York (EWR)	B748	—	13:30	—	16:00	
Estimated departure 13:40		 
 	14 Dec 2025	Frankfurt (FRA)	New York (EWR)	B748 (D-ABYR)	—	13:30	14:00	16:00	
Estimated 15:54	  	 
 	13 Dec 2025	Frankfurt (FRA)	New York (EWR)	B748 (D-ABYI)	8:03	13:30	14:00	16:00	
Landed 16:03	  	 
 	12 Dec 2025	Frankfurt (FRA)	New York (EWR)	B748 (D-ABYO)	7:58	13:30	14:03	16:00	
Landed 16:01	  	 
 	11 Dec 2025	Frankfurt (FRA)	New York (EWR)	B748 (D-ABYQ)	7:46	13:30	14:37	16:00	
Landed 16:23	  	 
 	10 Dec 2025	Frankfurt (FRA)	New York (EWR)	B748 (D-ABYS)	8:25	13:30	13:48	16:00	
Landed 16:12	  	 
 	09 Dec 2025	Frankfurt (FRA)	New York (EWR)	B748 (D-ABYM)	7:40	13:30	14:11	16:00	
Landed 15:52	  	 
 	08 Dec 2025	Frankfurt (FRA)	New York (EWR)	B748 (D-ABYT)	8:03	13:30	14:08	16:00	
Landed 16:11	  	 
 	07 Dec 2025	Frankfurt (FRA)	New York (EWR)	B748 (D-ABYK)	7:58	13:30	13:44	16:00	
Landed 15:42	  	 
 	06 Dec 2025	Frankfurt (FRA)	New York (EWR)	B748 (D-ABYC)	7:43	13:30	14:03	16:00	
Landed 15:46	  	 
 	05 Dec 2025	Frankfurt (FRA)	New York (EWR)	B748 (D-ABYD)	8:01	13:30	13:56	16:00	
Landed 15:57	  	 
 	04 Dec 2025	Frankfurt (FRA)	New York (EWR)	B748 (D-ABYC)	8:10	13:30	14:11	16:00	
Landed 16:21	  	 
 	03 Dec 2025	Frankfurt (FRA)	New York (EWR)	B748 (D-ABYQ)	8:01	13:30	14:00	16:00	
Landed 16:02	  	 
